episode,reward,steps,final_level,win
233,-10.59,652,7,0
234,279.95,633,15,1
235,279.42999999999995,527,15,1
236,279.42999999999995,812,15,1
237,379.65999999999997,624,15,1
238,-10.65,324,2,0
239,-10.15,599,7,0
240,-10.15,805,11,0
241,279.49,849,15,1
242,279.42999999999995,574,15,1
243,279.95,702,15,1
244,379.52,573,15,1
245,279.62,608,15,1
246,379.95,485,15,1
247,279.42999999999995,1089,15,1
248,69.85000000000001,389,2,0
249,279.95,742,15,1
250,-10.23,290,2,0
251,-10.44,286,2,0
252,-10.35,724,7,0
253,199.43,576,15,1
254,279.42999999999995,821,15,1
255,279.95,601,15,1
256,279.42999999999995,709,15,1
257,-10.15,240,2,0
258,379.40999999999997,645,15,1
259,279.42999999999995,745,15,1
260,69.38000000000001,625,7,0
261,279.95,678,15,1
262,-10.15,309,2,0
263,279.61,762,15,1
264,379.92,847,15,1
265,279.42999999999995,584,15,1
266,279.42999999999995,799,15,1
267,199.95,741,15,1
268,279.95,686,15,1
269,-10.15,279,2,0
270,199.95,607,15,1
271,-10.65,587,9,0
272,279.95,708,15,1
273,279.95,637,15,1
274,-10.15,325,3,0
275,199.95,827,15,1
276,69.64000000000001,361,2,0
277,199.94,641,15,1
278,279.95,566,15,1
279,199.95,553,15,1
280,-10.15,584,8,0
281,199.43,562,15,1
282,379.95,718,15,1
283,279.42999999999995,583,15,1
284,-10.15,439,2,0
285,279.91999999999996,588,15,1
286,-10.53,693,8,0
287,-10.15,239,2,0
288,69.85000000000001,323,2,0
289,199.95,553,15,1
290,279.95,562,15,1
291,199.51999999999998,783,15,1
292,379.40999999999997,886,15,1
293,279.95,588,15,1
294,279.91999999999996,545,15,1
295,199.94,944,15,1
296,-10.65,270,2,0
297,-10.47,302,2,0
298,279.95,881,15,1
299,279.95,602,15,1
300,-10.65,761,10,0
301,279.74,553,15,1
302,-10.65,299,2,0
303,-10.65,619,12,0
304,-10.19,291,2,0
305,279.73,616,15,1
306,279.42999999999995,747,15,1
307,279.42999999999995,836,15,1
308,379.40999999999997,797,15,1
309,199.95,596,15,1
310,279.95,570,15,1
311,169.95,279,3,0
312,279.54999999999995,703,15,1
313,279.42999999999995,733,15,1
314,199.43,787,15,1
315,279.42999999999995,580,15,1
316,379.40999999999997,662,15,1
317,199.43,647,15,1
318,279.42999999999995,554,15,1
319,279.46,909,15,1
320,279.42999999999995,630,15,1
321,279.42999999999995,571,15,1
322,199.43,838,15,1
323,199.43,660,15,1
324,-10.15,286,2,0
325,-10.15,276,2,0
326,279.42999999999995,481,15,1
327,279.42999999999995,648,15,1
328,279.42999999999995,712,15,1
329,279.42999999999995,845,15,1
330,279.74,738,15,1
331,279.42999999999995,662,15,1
332,279.46,707,15,1
333,279.42999999999995,588,15,1
334,279.72,791,15,1
335,279.42999999999995,466,15,1
336,279.42999999999995,825,15,1
337,279.5,544,15,1
338,-10.59,507,7,0
339,379.84999999999997,522,15,1
340,379.95,489,15,1
341,279.42999999999995,717,15,1
342,279.46,790,15,1
343,279.95,511,15,1
344,199.95,795,15,1
345,199.95,491,15,1
346,279.95,571,15,1
347,279.85,754,15,1
348,199.86,911,15,1
349,199.43,643,15,1
350,279.42999999999995,1177,15,1
351,-10.52,384,2,0
352,199.68,650,15,1
353,279.47,676,15,1
354,279.95,810,15,1
355,-10.52,705,7,0
356,279.95,533,15,1
357,-10.65,576,10,0
358,479.51,602,15,1
359,279.95,557,15,1
360,199.43,514,15,1
361,199.43,567,15,1
362,-10.33,577,9,0
363,199.43,538,15,1
364,279.95,634,15,1
365,199.51999999999998,690,15,1
366,-10.15,309,2,0
367,199.49,597,15,1
368,279.95,612,15,1
369,379.95,723,15,1
370,279.85,814,15,1
371,279.86,602,15,1
372,279.95,637,15,1
373,279.95,685,15,1
374,-10.65,713,8,0
375,279.42999999999995,743,15,1
376,199.95,640,15,1
377,279.62,856,15,1
378,-10.15,286,2,0
379,199.43,846,15,1
380,279.42999999999995,550,15,1
381,279.42999999999995,809,15,1
382,279.58,1075,15,1
383,279.42999999999995,735,15,1
384,279.42999999999995,494,15,1
385,279.42999999999995,931,15,1
386,199.43,812,15,1
387,279.95,670,15,1
388,279.95,663,15,1
389,-10.62,380,2,0
390,279.42999999999995,631,15,1
391,279.95,616,15,1
392,-10.65,782,10,0
393,379.45,604,15,1
394,279.42999999999995,672,15,1
395,279.87,767,15,1
396,-10.15,287,3,0
397,379.62,600,15,1
398,199.43,556,15,1
