episode,reward,steps,final_level,win
6001,-10.36,3602,9,0
6002,-10.15,2072,6,0
6003,-10.432,1126,3,0
6004,39.85,894,4,0
6005,-10.45,592,2,0
6006,-10.15,1404,6,0
6007,-10.216,387,2,0
6008,-10.45,1084,2,0
6009,-10.45,2801,13,0
6010,-10.15,1344,4,0
6011,-10.258,699,2,0
6012,-10.45,866,2,0
6013,-10.45,1667,2,0
6014,-10.45,1878,7,0
6015,-10.15,1348,5,0
6016,-10.45,2001,12,0
6017,-10.432,981,4,0
6018,-10.36,1784,5,0
6019,-10.45,1722,6,0
6020,229.83599999999998,2547,15,1
6021,-10.15,862,3,0
6022,-10.45,2070,9,0
6023,-10.45,2841,6,0
6024,-10.45,2418,2,0
6025,-10.15,1291,3,0
6026,-10.234,1840,3,0
6027,-10.45,1176,2,0
6028,-10.45,1514,4,0
6029,-10.432,1037,3,0
6030,-10.396,579,3,0
6031,-10.45,3748,10,0
6032,-10.21,1138,4,0
6033,-10.45,892,4,0
6034,-10.306000000000001,964,2,0
6035,-10.438,689,2,0
6036,-10.15,860,2,0
6037,-10.378,1329,6,0
6038,-10.45,1725,9,0
6039,39.550000000000004,1562,3,0
6040,-10.45,491,2,0
6041,-10.45,1863,12,0
6042,-10.45,1358,5,0
6043,-10.15,723,2,0
6044,-10.45,465,2,0
6045,-10.342,5000,11,0
6046,-10.342,3110,10,0
6047,-10.45,1390,2,0
6048,-10.45,1463,4,0
6049,-10.45,1646,7,0
6050,-10.45,753,4,0
6051,-10.45,547,2,0
6052,-10.45,1279,7,0
6053,229.63799999999998,2404,15,1
6054,-10.45,1272,6,0
6055,-10.45,1252,3,0
6056,-10.15,1820,4,0
6057,39.658,1358,9,0
6058,-10.15,871,2,0
6059,229.63799999999998,2384,15,1
6060,-10.414,2863,6,0
6061,-10.45,1037,5,0
6062,229.83599999999998,1929,15,1
6063,-10.45,2058,13,0
6064,-10.45,1534,3,0
6065,-10.45,2011,10,0
6066,-10.342,2234,9,0
6067,39.85,520,2,0
6068,39.85,654,2,0
6069,-10.15,2137,8,0
6070,-10.192,450,2,0
6071,-10.15,550,2,0
6072,-10.342,884,2,0
6073,-10.45,1663,3,0
6074,-10.45,813,2,0
6075,-10.222,949,2,0
6076,-10.45,1133,4,0
6077,-10.342,2184,6,0
6078,-10.162,1314,4,0
6079,-10.45,1167,3,0
6080,-10.15,357,2,0
6081,-10.432,1693,10,0
6082,39.802,1390,4,0
6083,-10.414,874,2,0
6084,-10.15,1311,3,0
6085,-10.45,1797,7,0
6086,-10.306000000000001,830,6,0
6087,-10.234,1081,2,0
6088,-10.342,910,3,0
6089,-10.15,474,2,0
6090,229.63799999999998,2480,15,1
6091,229.64999999999998,1525,15,1
6092,-10.15,1170,6,0
6093,-10.15,813,4,0
6094,39.85,514,2,0
6095,-10.234,827,4,0
6096,-10.396,2058,6,0
6097,-10.396,1832,9,0
6098,-10.15,690,3,0
6099,-10.15,1012,6,0
6100,-10.396,2131,9,0
6101,-10.342,573,2,0
6102,-10.45,1240,2,0
6103,-10.378,1151,9,0
6104,-10.15,2600,3,0
6105,-10.45,1758,11,0
6106,-10.342,826,2,0
6107,-10.15,288,2,0
6108,-10.198,940,3,0
6109,-10.45,2443,8,0
6110,229.89,2686,15,1
6111,-10.45,1723,12,0
6112,-10.432,953,4,0
6113,-10.45,2423,12,0
6114,-10.15,685,3,0
6115,-10.288,2361,12,0
6116,-10.15,463,2,0
6117,-10.288,1915,4,0
6118,39.622,884,6,0
6119,-10.288,1005,6,0
6120,-10.15,474,2,0
6121,-10.306000000000001,1193,6,0
6122,-10.45,1094,2,0
6123,-10.45,2201,8,0
6124,-10.45,2025,7,0
6125,-10.45,3366,9,0
6126,-10.15,504,2,0
6127,229.914,2422,15,1
6128,-10.45,1222,6,0
6129,39.85,990,3,0
6130,-10.432,1529,4,0
6131,-10.45,1123,3,0
6132,229.63799999999998,2097,15,1
6133,-10.396,710,2,0
6134,229.63799999999998,2596,15,1
6135,-10.45,795,2,0
6136,-10.45,471,2,0
6137,-10.306000000000001,1503,3,0
6138,229.63799999999998,3649,15,1
6139,-10.45,1449,6,0
6140,-10.45,2611,9,0
6141,229.938,3697,15,1
6142,-10.45,541,2,0
6143,-10.414,975,6,0
6144,-10.45,2301,11,0
6145,-10.45,1159,5,0
6146,-10.36,562,2,0
6147,229.81199999999998,2362,15,1
6148,-10.444,313,2,0
6149,-10.45,2208,6,0
6150,229.95,2220,15,1
6151,-10.15,938,2,0
6152,-10.15,1056,2,0
6153,229.79999999999998,1622,15,1
6154,-10.306000000000001,1220,8,0
6155,229.95,1487,15,1
6156,-10.15,337,2,0
6157,229.95,1770,15,1
6158,229.95,1834,15,1
6159,-10.156,1078,5,0
6160,-10.36,788,2,0
6161,-10.27,1243,7,0
6162,-10.15,1075,3,0
6163,-10.15,1413,5,0
6164,229.95,1201,15,1
6165,-10.15,1144,3,0
6166,-10.15,1903,7,0
